video_name,frame_id,xmin,ymin,xmax,ymax,velocity,customer_id,x_floorplan,y_floorplan,new_customer_id,camera,x_floorplan_new,y_floorplan_new,time,customer_id_global
20220314_1.03_12_16_blurred,380,156.8306647,376.3507272,263.261669,508.2251127,1.291,1188,-363.6985834,-48.02107881,12161188,1.03,1093.067727,1434.752495,16:30:29,12161188
20220314_1.03_12_16_blurred,380,230.7417735,375.4086403,322.1875151,482.1297022,1.33,1191,-363.2151522,-47.98449231,12161191,1.03,1108.832801,1435.674044,16:30:29,12161191
20220314_1.03_12_16_blurred,380,653.4526525,231.9545334,733.2703375,330.9035866,0.019,1192,-359.5970206,-48.1737269,12161192,1.03,1226.822925,1430.90756,16:30:29,12161192
20220314_1.03_12_16_blurred,381,158.6543937,391.2253883,251.6062929,505.3595106,1.252,1188,-363.7013042,-47.91172844,12161188,1.03,1092.979,1437.506838,16:30:29,12161188
20220314_1.03_12_16_blurred,381,247.4162357,390.6483025,316.9101665,471.1597075,1.278,1191,-363.1907855,-47.87274193,12161191,1.03,1109.627418,1438.488839,16:30:29,12161191
20220314_1.03_12_16_blurred,381,653.4616489,231.9485133,733.2361454,330.8844221,0.018,1192,-359.5965266,-48.17290921,12161192,1.03,1226.839034,1430.928156,16:30:29,12161192
20220314_1.04_5_6_blurred,13,323.3384535,639.1561279,526.8097521,718.9515869,0,1540,-362.9864374,-49.24639598,561540,1.04,1124.40849,1472.443468,16:30:29,23762964
20220314_1.04_5_6_blurred,14,295.5264459,619.7869406,547.3517316,719.0199461,0,1540,-363.0039356,-49.23877885,561540,1.04,1123.769247,1472.681362,16:30:29,23762964
20220314_2.05_4_51_blurred,687,336.2621682,74.5949815,363.6759148,154.4219238,0.146,1692,-363.9626004,-46.26301213,4511692,2.05,1136.083957,1629.765244,16:30:29,44416406
20220314_2.05_4_51_blurred,688,336.2565621,74.48734956,363.6056866,154.137668,0.168,1692,-363.9401894,-46.26067651,4511692,2.05,1136.803692,1629.840025,16:30:29,44416406
20220314_2.05_4_51_blurred,689,336.2410429,74.49013214,363.5960357,154.1791017,0.201,1692,-363.9237664,-46.25958887,4511692,2.05,1137.33112,1629.874849,16:30:29,44416406
20220314_2.05_4_51_blurred,690,336.2381049,74.5064432,363.5905874,154.2114518,0.204,1692,-363.9108697,-46.25845201,4511692,2.05,1137.7453,1629.911248,16:30:29,44416406
20220314_1.03_12_16_blurred,382,154.959511,390.917815,248.1172235,505.583655,1.281,1188,-363.70755,-47.82493687,12161188,1.03,1092.775318,1439.692964,16:30:30,12161188
20220314_1.03_12_16_blurred,382,249.294771,391.8626745,314.7107333,466.9779401,1.303,1191,-363.1724709,-47.77493769,12161191,1.03,1110.22467,1440.952355,16:30:30,12161191
20220314_1.03_12_16_blurred,383,152.5121564,386.6056191,247.7010851,505.0244289,1.187,1188,-363.7125711,-47.7559397,12161188,1.03,1092.611577,1441.43088,16:30:30,12161188
20220314_1.03_12_16_blurred,383,244.1839208,386.7387374,308.749897,460.6054698,1.254,1191,-363.1629542,-47.65742783,12161191,1.03,1110.535018,1443.91222,16:30:30,12161191
20220314_1.03_12_16_blurred,384,154.1698981,380.78715,247.7630283,498.5160802,1.219,1188,-363.7103844,-47.66705398,12161188,1.03,1092.682887,1443.669754,16:30:30,12161188
20220314_1.03_12_16_blurred,384,234.1627715,380.2602625,303.3281387,458.9909837,1.308,1191,-363.1673621,-47.55438977,12161191,1.03,1110.391272,1446.507566,16:30:30,12161191
20220314_1.03_12_16_blurred,384,653.518721,232.4517689,733.4218055,331.5657336,0.02,1192,-359.5996315,-48.17826144,12161192,1.03,1226.737782,1430.793343,16:30:30,12161192
20220314_1.03_12_16_blurred,385,156.3053558,372.6367859,247.7287866,488.5298841,1.156,1188,-363.6986618,-47.56549597,12161188,1.03,1093.06517,1446.227821,16:30:30,12161188
20220314_1.03_12_16_blurred,385,229.6912776,372.5328344,304.2093151,458.2448484,1.266,1191,-363.1697178,-47.47440116,12161191,1.03,1110.314451,1448.522338,16:30:30,12161191
20220314_1.03_12_16_blurred,385,653.4073084,231.9353822,733.4757218,331.3413929,0.024,1192,-359.6005013,-48.17977206,12161192,1.03,1226.709418,1430.755293,16:30:30,12161192
20220314_1.03_12_16_blurred,386,158.3834797,367.0120611,246.756829,479.4756883,1.165,1188,-363.685947,-47.45236459,12161188,1.03,1093.479809,1449.0774,16:30:30,12161188
20220314_1.03_12_16_blurred,386,224.2135298,364.8455514,303.9436226,457.7759278,1.292,1191,-363.1749519,-47.40192143,12161191,1.03,1110.143765,1450.347974,16:30:30,12161191
20220314_1.03_12_16_blurred,386,653.1327797,231.8346263,732.6203675,330.3914243,0.022,1192,-359.600456,-48.173376,12161192,1.03,1226.710894,1430.916399,16:30:30,12161192
20220314_1.03_12_16_blurred,387,168.1475809,377.1221384,246.2249114,476.5063673,1.129,1188,-363.6647128,-47.37398257,12161188,1.03,1094.172275,1451.051705,16:30:30,12161188
20220314_1.03_12_16_blurred,387,230.0665615,365.4970673,305.7083274,455.5823482,1.21,1191,-363.1689249,-47.34608249,12161191,1.03,1110.340307,1451.754458,16:30:30,12161191
20220314_1.03_12_16_blurred,387,653.416442,231.9084381,733.0163214,330.6317585,0.031,1192,-359.5985946,-48.17441293,12161192,1.03,1226.771596,1430.89028,16:30:30,12161192
20220314_1.03_12_16_blurred,388,168.540489,375.2445336,244.6485188,471.8123709,1.124,1188,-363.6505673,-47.27857957,12161188,1.03,1094.633569,1453.454737,16:30:30,12161188
20220314_1.03_12_16_blurred,388,235.8388566,367.1332981,303.8978861,448.9647332,1.22,1191,-363.1560625,-47.26744866,12161191,1.03,1110.75976,1453.735105,16:30:30,12161191
20220314_1.03_12_16_blurred,388,653.4899788,231.8067003,733.1964016,330.7077234,0.024,1192,-359.5979586,-48.17262544,12161192,1.03,1226.792335,1430.935304,16:30:30,12161192
20220314_1.04_5_6_blurred,15,250.3360674,592.4896918,565.0622819,718.4506105,0,1540,-363.056186,-49.19145572,561540,1.04,1121.860434,1474.159332,16:30:30,23762964
20220314_1.04_5_6_blurred,16,208.3351739,560.6784819,593.1714264,718.549415,0,1540,-363.0831869,-49.17018735,561540,1.04,1120.874035,1474.823574,16:30:30,23762964
20220314_1.04_5_6_blurred,17,175.4222188,531.0828735,618.5727632,718.768824,0,1540,-363.0985851,-49.15805832,561540,1.04,1120.311507,1475.202381,16:30:30,23762964
20220314_1.04_5_6_blurred,18,148.9649992,504.347431,636.738089,718.8332267,0,1540,-363.1139609,-49.14594695,561540,1.04,1119.749797,1475.580637,16:30:30,23762964
